id,title,content,document_type,department,regulation_id,effective_date,expiry_date,status,classification,version,language,tags,category,subcategory
RISK-001,Commercial Real Estate Credit Risk Assessment Q1 2024,"Risk Assessment Summary: Commercial real estate (CRE) portfolio shows elevated credit risk due to rising interest rates and declining occupancy rates in office properties. Key findings: (1) Office property occupancy declined to 68% (down from 82% in 2022); (2) 15% of CRE loans have debt service coverage ratio (DSCR) below 1.2x; (3) Interest rate increases of 400 bps since 2022 impacting refinancing. Risk Rating: HIGH. Mitigation strategies implemented: (1) Enhanced due diligence for new CRE loans; (2) Quarterly portfolio reviews; (3) Stress testing at 200 bps additional rate increase; (4) LTV ratio caps at 65% for new loans; (5) Increased reserves for potential losses. Portfolio size: $2.3B. Expected loss rate: 2.3% (vs industry average 3.1%).",risk_assessment,risk_management,,2024-03-15,,active,confidential,1.0,en,"credit-risk,commercial-real-estate,cre,portfolio-risk",credit_risk,cre_portfolio
RISK-002,Cybersecurity Risk Assessment - Online Banking Platform,"Risk Assessment Summary: Online banking platform faces moderate cybersecurity risks from phishing attacks, credential stuffing, and DDoS attempts. Key findings: (1) 2,500 phishing attempts detected monthly (95% blocked); (2) 150 credential stuffing attempts daily (99% blocked); (3) 3 DDoS attacks in past quarter (all mitigated); (4) Average incident response time: 15 minutes. Risk Rating: MEDIUM. Mitigation strategies: (1) Multi-factor authentication mandatory for all users; (2) Advanced threat detection with AI/ML; (3) 24/7 Security Operations Center (SOC); (4) Regular penetration testing (quarterly); (5) Employee security awareness training; (6) Incident response plan with 15-minute SLA. Compliance: SOC 2 Type II certified, PCI DSS compliant.",risk_assessment,risk_management,,2024-02-20,,active,confidential,1.0,en,"cybersecurity,online-banking,phishing,ddos,incident-response",operational_risk,cybersecurity
RISK-003,Interest Rate Risk - Asset Liability Management,"Risk Assessment Summary: Rising interest rate environment creates asset-liability mismatch risk. Key findings: (1) Duration gap of 2.5 years between assets and liabilities; (2) 40% of loan portfolio has fixed rates; (3) 60% of deposits are non-maturity (demand deposits); (4) Net interest margin compressed by 25 bps in past 6 months. Risk Rating: MEDIUM-HIGH. Mitigation strategies: (1) Interest rate swaps to hedge $500M of fixed-rate assets; (2) Increase variable-rate loan originations; (3) Ladder CD maturities to manage funding costs; (4) Stress testing for 300 bps rate increase; (5) Monthly ALCO meetings to monitor position. Economic Value of Equity (EVE) sensitivity: -8% for 200 bps parallel shift.",risk_assessment,risk_management,,2024-01-30,,active,confidential,1.0,en,"interest-rate-risk,alm,duration-gap,net-interest-margin",market_risk,interest_rate
POLICY-001,Mortgage Lending Policy - Underwriting Standards,"Mortgage underwriting standards effective 2024: (1) Minimum credit score: 620 for conventional, 580 for FHA; (2) Maximum LTV: 80% for conventional, 96.5% for FHA; (3) Maximum DTI: 43% (may extend to 50% with compensating factors); (4) Employment verification: 2 years stable employment; (5) Income documentation: 2 years tax returns, 2 months pay stubs; (6) Asset verification: 2 months reserves required. Property requirements: Professional appraisal required, property must meet safety and habitability standards. Exceptions require senior underwriter approval. All loans must comply with Ability-to-Repay (ATR) rule. Qualified Mortgage (QM) status preferred.",policy,retail_banking,MTG-2024-001,2024-01-01,2024-12-31,active,internal,5.2,en,"mortgage,underwriting,eligibility,lending-standards",mortgage,underwriting
POLICY-002,Credit Card Approval Policy - Risk-Based Pricing,"Credit card approval policy uses risk-based pricing model. Credit score tiers: (1) Excellent (750+): Prime rates, highest limits, premium rewards; (2) Good (700-749): Standard rates, moderate limits, standard rewards; (3) Fair (650-699): Higher rates, lower limits, basic rewards; (4) Poor (below 650): Secured cards only. Approval factors: credit score (40%), income (25%), debt-to-income ratio (20%), credit history length (10%), recent inquiries (5%). Initial credit limits: $500-$25,000 based on creditworthiness. Annual fee: $0-$550 based on card tier. APR range: 15.99%-29.99% variable. Automatic credit line increases after 6 months of on-time payments.",policy,retail_banking,CC-2024-001,2024-01-01,2024-12-31,active,internal,3.0,en,"credit-cards,approval,risk-based-pricing,underwriting",credit_cards,approval_policy
POLICY-003,Fraud Prevention Policy - Transaction Monitoring,"Fraud prevention policy establishes real-time transaction monitoring and response procedures. Monitoring triggers: (1) Transactions over $5,000; (2) International transactions; (3) Multiple transactions in short timeframe; (4) Transactions from high-risk merchants; (5) Geographic anomalies. Response procedures: (1) Automated decline for high-risk transactions; (2) SMS/email verification for medium-risk; (3) Manual review within 15 minutes; (4) Customer callback for verification. Card blocking: Immediate for confirmed fraud, 24-hour hold for suspected fraud. Customer notification: Real-time alerts for all declined transactions. False positive rate target: <5%. Fraud loss rate target: <0.05% of transaction volume.",policy,risk_management,FRAUD-2024-001,2024-01-01,,active,internal,2.0,en,"fraud-prevention,transaction-monitoring,card-security",fraud,prevention
PROC-001,Account Opening Procedure - Individual Accounts,"Account opening procedure for individual accounts: Step 1 - Customer Identification: Collect full name, date of birth, SSN, residential address, phone number, email. Verify identity using government-issued ID (driver's license, passport, state ID). Step 2 - CIP Verification: Verify identity through credit bureau or other reliable source. Document verification method and results. Step 3 - Risk Assessment: Screen against OFAC, PEP, and sanctions lists. Determine customer risk rating (low, medium, high). Step 4 - Product Selection: Discuss account options and features. Provide fee schedule and account agreement. Step 5 - Initial Deposit: Minimum $25 for checking, $100 for savings. Accept cash, check, or transfer. Step 6 - Account Setup: Issue debit card, set up online banking, provide welcome kit. Timeline: 15-30 minutes for in-branch, 24 hours for online.",procedure,operations,KYC-2024-001,2024-01-01,,active,internal,3.0,en,"account-opening,kyc,customer-onboarding,cip",operations,account_opening
PROC-002,Wire Transfer Verification Procedure,"Wire transfer verification procedure to prevent fraud: Step 1 - Request Receipt: Customer submits wire transfer request online, in-branch, or by phone. Capture: recipient name, bank details, amount, purpose. Step 2 - Initial Verification: Verify customer identity using multi-factor authentication. Check account balance and available funds. Step 3 - Risk Assessment: Flag if: first-time recipient, amount >$10,000, international transfer, high-risk country. Step 4 - Callback Verification: For flagged transfers, call customer at registered phone number. Verify: transfer details, recipient relationship, purpose of transfer. Use security questions. Step 5 - Approval: Low-risk: automatic approval. Medium-risk: supervisor approval required. High-risk: manager approval + 24-hour hold. Step 6 - Execution: Process wire transfer. Send confirmation to customer. Monitor for reversal requests. Step 7 - Documentation: Maintain records for 5 years per BSA requirements.",procedure,operations,WIRE-2024-001,2024-01-01,,active,internal,2.0,en,"wire-transfer,fraud-prevention,verification,callback",operations,wire_transfers
PROC-003,Loan Modification Procedure - Hardship Cases,"Loan modification procedure for customers experiencing financial hardship: Step 1 - Hardship Assessment: Customer contacts bank regarding payment difficulty. Document hardship reason: job loss, medical emergency, divorce, etc. Step 2 - Financial Review: Collect: income documentation, expense statements, asset information, hardship letter. Calculate: current DTI, proposed DTI, ability to pay. Step 3 - Modification Options: (1) Interest rate reduction (temporary or permanent); (2) Term extension; (3) Principal forbearance; (4) Payment deferral (3-6 months). Step 4 - Approval Process: Underwriter reviews modification proposal. Senior management approval for principal reduction. Step 5 - Trial Period: 3-month trial period with modified payments. Customer must make all trial payments on time. Step 6 - Permanent Modification: Upon successful trial completion, execute permanent modification agreement. Report to credit bureaus as 'paying as agreed'. Step 7 - Ongoing Monitoring: Monthly payment tracking. Quarterly financial review for 12 months.",procedure,retail_banking,LOANMOD-2024-001,2024-01-01,,active,internal,1.0,en,"loan-modification,hardship,forbearance,workout",retail_banking,loan_servicing
TRAIN-001,AML Training Module - Suspicious Activity Recognition,"Anti-Money Laundering training for all employees: Module 1 - Red Flags: (1) Structuring: Multiple transactions just below $10,000 reporting threshold; (2) Unusual activity: Transactions inconsistent with customer profile; (3) Third-party transactions: Frequent deposits/withdrawals by non-account holders; (4) Cash-intensive businesses: Excessive cash deposits; (5) International wires: Frequent wires to high-risk countries. Module 2 - Reporting Requirements: File SAR within 30 days of detection. Include: who, what, when, where, why. Maintain confidentiality - do not notify customer. Module 3 - Case Studies: Review 10 real-world examples of money laundering schemes. Module 4 - Assessment: Pass 80% quiz to complete training. Annual refresher required. Completion tracked in HR system.",training,compliance,,2024-01-01,,active,internal,1.0,en,"aml,training,suspicious-activity,sar,money-laundering",training,aml_compliance
TRAIN-002,Cybersecurity Awareness Training - Phishing Prevention,"Cybersecurity awareness training for all employees: Module 1 - Phishing Recognition: Identify suspicious emails: (1) Urgent requests for credentials; (2) Unexpected attachments; (3) Misspelled domains; (4) Generic greetings; (5) Requests to bypass security. Module 2 - Safe Practices: (1) Verify sender before clicking links; (2) Hover over links to check destination; (3) Report suspicious emails to IT security; (4) Never share passwords or MFA codes; (5) Use strong, unique passwords. Module 3 - Incident Response: If you click suspicious link: (1) Disconnect from network; (2) Report to IT security immediately; (3) Change passwords; (4) Monitor accounts for unusual activity. Module 4 - Simulated Phishing: Monthly phishing simulation tests. Employees who click receive immediate training. Module 5 - Assessment: Pass 90% quiz. Quarterly refresher required.",training,operations,,2024-01-01,,active,internal,1.0,en,"cybersecurity,phishing,security-awareness,training",training,cybersecurity
AUDIT-001,Internal Audit Report Q4 2023 - Lending Operations,"Internal audit of lending operations Q4 2023: Scope: Mortgage and consumer lending processes, compliance with policies and regulations. Findings: (1) STRENGTH: 98% of loans properly documented; (2) STRENGTH: Underwriting decisions well-supported; (3) WEAKNESS: 12% of loans missing income verification within required timeframe; (4) WEAKNESS: 5% of loans exceeded DTI limits without proper exception approval. Recommendations: (1) Implement automated income verification system; (2) Enhance exception approval workflow; (3) Additional training for loan officers on documentation requirements; (4) Monthly quality control reviews. Management Response: Agreed with all recommendations. Implementation timeline: 90 days. Follow-up audit scheduled for Q2 2024. Overall Rating: SATISFACTORY with opportunities for improvement.",audit,internal_audit,,2023-12-15,,active,confidential,1.0,en,"internal-audit,lending,compliance,quality-control",audit,lending_operations
AUDIT-002,External Audit Report 2023 - Financial Statements,"External audit of financial statements for year ended December 31, 2023: Opinion: Unqualified (clean) opinion. Financial statements present fairly, in all material respects, the financial position of the bank. Key Audit Matters: (1) Allowance for loan losses: Tested methodology and assumptions, found reasonable; (2) Fair value measurements: Verified Level 3 inputs and valuation models; (3) IT general controls: Tested access controls and change management. Findings: No material weaknesses identified. One significant deficiency: Manual reconciliation process for certain accounts creates risk of error. Recommendation: Implement automated reconciliation tool. Management Response: Automated tool implementation in progress, expected completion Q2 2024. Compliance: Bank meets all regulatory capital requirements. Tier 1 capital ratio: 12.5% (well above 6% minimum).",audit,internal_audit,,2024-01-30,,active,confidential,1.0,en,"external-audit,financial-statements,capital-adequacy",audit,financial_reporting
